slug,entry,current,proposed,reason
50cent,50 Cent,50 Cent,50 Cent,The current display is already the fighter’s recognizable stage name.
abrahamlincoln,Abraham Lincoln,Abraham Lincoln,Abraham Lincoln,Both first and last names are needed for instant recognition; the current display is already correct.
achilles,Achilles,Achilles,Achilles,"The current display is already the iconic, instantly recognizable name."
adamant,Adam Ant,Adam Ant,Adam Ant,Adam Ant is the artist’s established full stage name and is already the correct recognizable display.
adamdriver,Adam Driver,Adam Driver,Adam Driver,Both first and last names are needed to identify the actor.
adamsandler,Adam Sandler,Adam Sandler,Adam Sandler,Both first and last name are needed for the instantly recognizable form.
adamwest,Adam West,Adam West,Adam West,"Adam West is the recognizable full name, and the current display is already correct."
akirakurosawa,Akira Kurosawa,Akira Kurosawa,Kurosawa,Akira Kurosawa is world-famous by his surname.
akiratoriyama,Akira Toriyama,Akira Toriyama,Toriyama,"Akira Toriyama is widely recognized by his surname, so the shortest instantly recognizable form is “Toriyama.”"
alanturing,Alan Turing,Alan Turing,Alan Turing,Both first and last names are needed for instant recognition; the current display is already correct.
alberteinstein,Albert Einstein,Albert Einstein,Einstein,Surname alone is the world-famous form.
alcapone,Al Capone,Al Capone,Al Capone,Both names form the instantly recognizable full name; the current display is already correct.
alexanderhamilto,Alexander Hamilton,Alexander Hamilton,Alexander Hamilton,Both first and last names are needed for the instantly recognizable full name.
alexanderthegrea,Alexander the Great,Alexander the Great,Alexander the Great,The iconic title is part of the universally recognized name and should be retained.
alexandrwang,Alexandr Wang,Alexandr Wang,Alexandr Wang,The current display is already the correct full name.
alexovechkin,Alex Ovechkin,Alex Ovechkin,Alex Ovechkin,His full name is the recognizable form; neither “Alex” nor “Ovechkin” alone is sufficient.
alextrebek,Alex Trebek,Alex Trebek,Alex Trebek,"His full name is the recognizable form, and the current display is already correct."
alfredhitchcock,Alfred Hitchcock,Alfred Hitchcock,Hitchcock,Hitchcock is the iconic surname by which Alfred Hitchcock is most famously recognized.
alibaba,Ali Baba,Ali Baba,Ali Baba,The current display is already the fighter’s recognizable name.
alicecooper,Alice Cooper,Alice Cooper,Alice Cooper,The current display is already the fighter's widely recognized full stage name.
aliceinwonderlan,Alice in Wonderland,Alice in Wonderland,Alice in Wonderland,Alice is the instantly recognizable famous form; “in Wonderland” is a descriptive qualifier rather than part of her name.
alleniverson,Allen Iverson,Allen Iverson,Allen Iverson,Both first and last names are needed to identify the famous basketball player.
alpacino,Al Pacino,Al Pacino,Al Pacino,Both first and last names are needed for the instantly recognizable full name.
ameliaearhart,Amelia Earhart,Amelia Earhart,Amelia Earhart,Both name halves are needed for instant recognition; the current display is already correct.
amitabhbachchan,Amitabh Bachchan,Amitabh Bachchan,Amitabh Bachchan,Both given name and surname are needed to identify this famous actor.
anansi,Anansi,Anansi,Anansi,"Anansi is already the natural, instantly recognizable name."
andersonsilva,Anderson Silva,Anderson Silva,Anderson Silva,His full name is the recognizable form and the current display is already correct.
andr3000,André 3000,André 3000,André 3000,This is his iconic stage name and the current display is already correct.
andreabocelli,Andrea Bocelli,Andrea Bocelli,Andrea Bocelli,Both names are needed to instantly identify the famous singer.
andreagassi,Andre Agassi,Andre Agassi,Agassi,"Andre Agassi is world-famous by his surname alone, so the announcer name is shortened to “Agassi.”"
andrejkarpathy,Andrej Karpathy,Andrej Karpathy,Karpathy,His surname is the shortest instantly recognizable form for Andrej Karpathy.
andrethegiant,Andre the Giant,Andre the Giant,Andre the Giant,Already the recognizable in-game name; the iconic ring name is kept intact.
andrewjackson,Andrew Jackson,Andrew Jackson,Andrew Jackson,Both first and last name are needed for the recognisable full name.
andrewng,Andrew Ng,Andrew Ng,Andrew Ng,Both names are needed to identify him; the current display is already correct.
