slug,current display,proposed,reason
akirakurosawa,Akira Kurosawa,Kurosawa,Akira Kurosawa is world-famous by his surname.
akiratoriyama,Akira Toriyama,Toriyama,"Akira Toriyama is widely recognized by his surname, so the shortest instantly recognizable form is “Toriyama.”"
alberteinstein,Albert Einstein,Einstein,Surname alone is the world-famous form.
alfredhitchcock,Alfred Hitchcock,Hitchcock,Hitchcock is the iconic surname by which Alfred Hitchcock is most famously recognized.
aliceinwonderlan,Alice in Wonderland,Alice,Alice is the instantly recognizable famous form; “in Wonderland” is a descriptive qualifier rather than part of her name.
andreagassi,Andre Agassi,Agassi,"Andre Agassi is world-famous by his surname alone, so the announcer name is shortened to “Agassi.”"
andrejkarpathy,Andrej Karpathy,Karpathy,His surname is the shortest instantly recognizable form for Andrej Karpathy.
antoniovivaldi,Antonio Vivaldi,Vivaldi,Surname alone is the instantly recognizable form for Antonio Vivaldi.
attilathehun,Attila the Hun,Attila,The descriptive epithet “the Hun” is stripped; Attila is the recognisable name.
benitomussolini,Benito Mussolini,Mussolini,Surname alone is the instantly recognizable form.
berniemadoff,Bernie Madoff,Madoff,Surname alone is the shortest instantly recognizable form for Bernie Madoff.
botticellisvenus,Botticelli's Venus,Venus,The iconic figure is Venus; “Botticelli’s” is a descriptive qualifier and should be stripped.
chadochocinco,Chad Ochocinco,Ochocinco,"His iconic, instantly recognizable surname is the shortest natural announcer name."
charlesdarwin,Charles Darwin,Darwin,Charles Darwin is world-famous by his surname alone.
claudemonet,Claude Monet,Monet,Surname alone is the instantly recognizable form for Claude Monet.
cyranodebergerac,Cyrano de Bergerac,Cyrano,Cyrano is the instantly recognizable famous form of Cyrano de Bergerac.
dantealighieri,Dante Alighieri,Dante,Dante is the instantly recognizable form for the world-famous poet Dante Alighieri.
diegomaradona,Diego Maradona,Maradona,Surname alone is the iconic form by which Diego Maradona is widely recognized.
dikembemutombo,Dikembe Mutombo,Mutombo,Surname alone is the instantly recognizable form for Dikembe Mutombo.
donaldknuth,Donald Knuth,Knuth,Donald Knuth is world-famous by his surname alone.
douglasmacarthur,Douglas MacArthur,MacArthur,"Douglas MacArthur is world-famous by his surname, so the announcer uses the shortest instantly recognizable form."
dwaynetherockjoh,Dwayne The Rock Johnson,The Rock,His famous wrestling stage name is the instantly recognizable form.
easterislandmoai,Easter Island Moai,Moai,The instantly recognizable name is “Moai”; “Easter Island” is a descriptive qualifier.
ebenezerscrooge,Ebenezer Scrooge,Scrooge,Scrooge is the instantly recognizable surname and famous form of Ebenezer Scrooge.
eddietheeagle,Eddie the Eagle,Eddie,Eddie the Eagle is the famous form; the descriptive epithet is stripped.
edgarallanpoe,Edgar Allan Poe,Poe,Edgar Allan Poe is universally recognized by his surname alone.
ericcantona,Eric Cantona,Cantona,Surname alone is the instantly recognizable form for Eric Cantona.
ernesthemingway,Ernest Hemingway,Hemingway,"His surname alone is the iconic, instantly recognizable form."
erwinschrdinger,Erwin Schrödinger,Schrödinger,His surname alone is the instantly recognizable form.
fidelcastro,Fidel Castro,Castro,Surname alone is the instantly recognizable form.
francisofassisi,Francis of Assisi,Francis,Francis of Assisi is most naturally and instantly recognized by the first name Francis in this roster context.
franklinroosevel,Franklin Roosevelt,Roosevelt,"He is world-famous by his surname, so the announcer uses the shorter iconic form."
franzkafka,Franz Kafka,Kafka,Kafka is the world-famous surname and shortest instantly recognizable form.
franzliszt,Franz Liszt,Liszt,Liszt is the surname by which the world-famous composer is most readily recognized.
frdricchopin,Frédéric Chopin,Chopin,Chopin is the instantly recognizable surname form for Frédéric Chopin.
friedrichnietzsc,Friedrich Nietzsche,Nietzsche,His surname alone is the instantly recognizable form.
galileogalilei,Galileo Galilei,Galileo,Galileo is the instantly recognizable form of his name; the surname is not generally used alone.
geoffreyhinton,Geoffrey Hinton,Hinton,"Geoffrey Hinton is world-famous primarily by his surname, so the announcer uses the shortest instantly recognisable form."
hannibal,Hannibal Barca,Hannibal,Hannibal is the instantly recognizable form; the surname is unnecessary here.
harryhoudini,Harry Houdini,Houdini,Houdini is the instantly recognizable surname and stage name.
herculesthegreek,Hercules the Greek Hero,Hercules,The descriptive epithet “the Greek Hero” is stripped; Hercules is the instantly recognizable name.
horationelson,Horatio Nelson,Nelson,Surname alone is the instantly recognisable form for the famous British admiral Horatio Nelson.
isaacnewton,Isaac Newton,Newton,Surname alone is the instantly recognizable form.
isambardkingdomb,Isambard Kingdom Brunel,Brunel,Brunel is the surname by which Isambard Kingdom Brunel is commonly recognized.
jackthegiantkill,Jack the Giant Killer,Jack,The famous folkloric hero is most instantly recognized as Jack; the descriptive epithet is stripped.
jeanmichelbasqui,Jean-Michel Basquiat,Basquiat,He is universally recognized by his surname alone.
johannsebastianb,Johann Sebastian Bach,Bach,Bach is the instantly recognizable surname form for Johann Sebastian Bach.
johncarterofmars,John Carter of Mars,John Carter,The recognizable name is John Carter; “of Mars” is a descriptive qualifier.
johnhenrythestee,John Henry the Steel-Driving Man,John Henry,Strips the descriptive epithet “the Steel-Driving Man”; John Henry is the recognizable name.
josephstalin,Joseph Stalin,Stalin,Surname alone is the instantly recognisable form.
jrrtolkien,J. R. R. Tolkien,Tolkien,Surname alone is the instantly recognizable form.
juliuscaesar,Julius Caesar,Caesar,Surname alone is the iconic form by which Julius Caesar is instantly recognized.
kaiserwilhelm,Kaiser Wilhelm,Wilhelm,Wilhelm II is most naturally and recognisably identified by his surname; the imperial title is a descriptive qualifier.
kappatheyokai,Kappa the Yokai,Kappa,Strips the descriptive qualifier “the Yokai”; Kappa is the instantly recognizable name.
karlmarx,Karl Marx,Marx,Surname alone is the instantly recognizable form for Karl Marx.
khabibnurmagomed,Khabib Nurmagomedov,Khabib,Khabib is the instantly recognizable form commonly used for the famous fighter.
kingcharlestheth,King Charles the Third,King Charles,The regnal numeral is a descriptive qualifier; the instantly recognizable in-game name is King Charles.
kinggeorgethethi,King George the Third,King George,The recognizable in-game form keeps the royal title and drops the ordinal.
kingrichardtheth,King Richard the Third,Richard III,The regnal title is naturally shortened to the widely recognized name Richard III.
lemuelgulliver,Lemuel Gulliver,Gulliver,Gulliver is the instantly recognizable surname and title-character name.
leonardbernstein,Leonard Bernstein,Bernstein,"Leonard Bernstein is world-famous by his surname, so the announcer uses the shorter recognizable form."
leotolstoy,Leo Tolstoy,Tolstoy,Surname alone is the instantly recognizable form for Leo Tolstoy.
lokithenorsegod,Loki the Norse God,Loki,Strips the descriptive epithet “the Norse God”; Loki is the instantly recognizable name.
lucianopavarotti,Luciano Pavarotti,Pavarotti,His surname is the instantly recognizable form.
ludwigvanbeethov,Ludwig van Beethoven,Beethoven,He is world-famous by his surname alone.
marvinminsky,Marvin Minsky,Minsky,His surname alone is the shortest recognizable form for this world-famous figure.
michelangelosdav,Michelangelo's David,David,"The iconic figure is known as David; the descriptive qualifier ""Michelangelo's"" is stripped."
mikhailgorbachev,Mikhail Gorbachev,Gorbachev,He is internationally recognizable by his surname alone.
muammargaddafi,Muammar Gaddafi,Gaddafi,Surname alone is the instantly recognizable form.
nikolatesla,Nikola Tesla,Tesla,Surname alone is the instantly recognizable form for Nikola Tesla.
novakdjokovic,Novak Djokovic,Djokovic,His surname alone is the instantly recognizable form for the world-famous tennis player.
